counter_name,code_item,magazijn,winkel,total,current_inventory,difference,count_date,location,deposit_id,rack_id,boxqty,boxunitqty,boxunittotal,remarks
VICTORIA,0600,0,0,1500,0,0,30-01-2026,,3,27,60,25,1500,VICTORIA D3
VICTORIA,0601,0,0,0,0,0,30-01-2026,,3,27,0,1,0,VICTORIA D3 ***
VICTORIA,0602,0,0,0,0,0,30-01-2026,,3,27,0,1,0,VICTORIA D3 ***
VICTORIA,0603,0,0,0,0,0,30-01-2026,,3,27,0,1,0,VICTORIA D3 ***
VICTORIA,0604,0,0,0,0,0,30-01-2026,,3,27,0,1,0,VICTORIA D3 ***
VICTORIA,0605,0,0,0,0,0,30-01-2026,,3,27,0,1,0,VICTORIA D3 ***
VICTORIA,0646,0,0,12,0,0,30-01-2026,,3,27,4,3,12,VICTORIA D3
VICTORIA,0644,0,0,36,0,0,30-01-2026,,3,27,12,3,36,VICTORIA D3
VICTORIA,0643,0,0,0,0,0,30-01-2026,,3,27,0,3,0,VICTORIA D3
VICTORIA,0641,0,0,42,0,0,30-01-2026,,3,27,14,3,42,VICTORIA D3
VICTORIA,0639,0,0,72,0,0,30-01-2026,,3,27,24,3,72,VICTORIA D3
VICTORIA,0638,0,0,66,0,0,30-01-2026,,3,27,22,3,66,VICTORIA D3
VICTORIA,0637,0,0,102,0,0,30-01-2026,,3,27,34,3,102,VICTORIA D3
VICTORIA,0636,0,0,51,0,0,30-01-2026,,3,27,17,3,51,VICTORIA D3
VICTORIA,0635,0,0,66,0,0,30-01-2026,,3,27,22,3,66,VICTORIA D3
VICTORIA,3014,0,0,0,0,0,30-01-2026,,3,27,0,1,0,VICTORIA D3 ***
VICTORIA,3011,0,0,0,0,0,30-01-2026,,3,27,0,1,0,VICTORIA D3 ***
VICTORIA,15143,22,0,22,0,0,30-01-2026,,3,30,0,1,0,VICTORIA D3
VICTORIA,15145,17,0,17,0,0,30-01-2026,,3,30,0,1,0,VICTORIA D3
VICTORIA,15143,15,0,15,0,0,2/2/2026,,3,34,0,1,0,VICTORIA D3
VICTORIA,0703,0,0,130,0,0,2/2/2026,,3,34,13,10,130,VICTORIA D3
VICTORIA,0702,0,0,60,0,0,2/2/2026,,3,34,6,10,60,VICTORIA D3
VICTORIA,0517,46,0,46,0,0,2/2/2026,,3,34,0,1,0,VICTORIA D3
VICTORIA,0513,0,0,360,0,0,2/2/2026,,3,34,3,120,360,VICTORIA D3
VICTORIA,0505,0,0,150,0,0,2/2/2026,,3,34,3,50,150,VICTORIA D3
VICTORIA,0490,0,0,100,0,0,2/2/2026,,3,34,10,10,100,VICTORIA D3
VICTORIA,0534,0,0,450,0,0,2/2/2026,,3,33,9,50,450,VICTORIA D3 ***
VICTORIA,0490,0,0,200,0,0,2/2/2026,,3,33,2,100,200,VICTORIA D3 ***
VICTORIA,0700,0,0,300,0,0,2/2/2026,,3,33,3,100,300,VICTORIA D3 ***
VICTORIA,0535,0,0,200,0,0,2/2/2026,,3,33,2,100,200,VICTORIA D3
VICTORIA,1327,0,0,125,0,0,2/2/2026,,3,32,5,25,125,VICTORIA D3
VICTORIA,1330,0,0,160,0,0,2/2/2026,,3,32,16,10,160,VICTORIA D3
VICTORIA,1328,0,0,175,0,0,2/2/2026,,3,32,7,25,175,VICTORIA D3
VICTORIA,1329,0,0,190,0,0,2/2/2026,,3,32,19,10,190,VICTORIA D3
VICTORIA,1331,0,0,190,0,0,2/2/2026,,3,32,19,10,190,VICTORIA D3
VICTORIA,1334,218,0,218,0,0,2/2/2026,,3,32,0,1,0,VICTORIA D3
VICTORIA,1335,297,0,297,0,0,2/2/2026,,3,32,0,1,0,VICTORIA D3
VICTORIA,1314,202,0,202,0,0,2/2/2026,,3,32,0,1,0,VICTORIA D3
VICTORIA,3124,0,0,28,0,0,2/2/2026,,3,32,7,4,28,VICTORIA D3
