id,code_item,description_item,boxqty,boxunitqty,boxunittotal,magazijn,winkel,total,current_inventory,difference,updated_date,sales_qty,purchasing_qty
3075,0489,KABELDOOS 223A,2,45,90,35,0,125,185,60,2026-02-17T18:02:59.718311,,
3076,04891,KABELDOOS J100S,0,1,0,164,0,164,76,-88,2026-02-17T18:02:59.718311,,
3077,0490,TREKDOOS                4202-D,17,120,350,3,0,353,387,34,2026-02-17T18:02:59.718311,,
3078,0491,KABELDOOS 225A,3,29,29,26,0,55,56,1,2026-02-17T18:02:59.718311,,
3079,0492,KABELDOOS 224A,1,14,14,14,0,28,30,2,2026-02-17T18:02:59.718311,,
3080,0493,KABELDOOS EP088 (18100),184,1,184,22,0,206,206,0,2026-02-17T18:02:59.718311,,
3081,0494,KABELDOOS EV111(18300),2,85,170,53,0,223,228,5,2026-02-17T18:02:59.718311,,
3082,04941,KABEL DOOS EL161 (18800),0,1,0,44,0,44,46,2,2026-02-17T18:02:59.718311,,
3083,04942,KABEL DOOS EL171 (19150),0,1,0,75,0,75,77,2,2026-02-17T18:02:59.718311,,
3084,04943,KABEL DOOS EL322 (19750),2,7,12,30,0,42,30,-12,2026-02-17T18:02:59.718311,,
3085,04944,KABEL DOOS GSLT171 (19805),0,1,0,12,0,12,12,0,2026-02-17T18:02:59.718311,,
3086,04945,KABEL DOOS GSLT231 (19905),2,3,6,0,0,6,15,9,2026-02-17T18:02:59.718311,,
3087,04946,KABEL DOOS GSLT322 (19965),0,1,0,22,0,22,17,-5,2026-02-17T18:02:59.718311,,
3088,0495,EINDDOOS                4201-D,0,1,0,10,0,10,332,322,2026-02-17T18:02:59.718311,,
3089,0499,VERHOGINGSRING H251,0,0,0,50,0,50,50,0,2026-02-17T18:02:59.718311,,
3090,0500,DUBB INBOUWDOOS H251 ABB,0,1,0,266,0,266,278,12,2026-02-17T18:02:59.718311,,
3091,0501,LASDOOS TOP T DOOS L DUBB3211,30,45,625,45,0,670,647,-23,2026-02-17T18:02:59.718311,,
3092,0502,LASDOOS TOP T  R DUBB 3210,20,45,425,44,0,469,469,0,2026-02-17T18:02:59.718311,,
3093,0504,LASDOOS VORK TOP LINKS 3209,6,20,120,0,0,120,143,23,2026-02-17T18:02:59.718311,,
3094,0505,CD/RV RONDE DEKSEL CENTRAL,3,50,150,85,0,235,236,1,2026-02-17T18:02:59.718311,,
3095,0506,AD/16-19 AFSLUITSTOPBUIS 16-19,0,1,0,1179,0,179,1180,1001,2026-02-17T18:02:59.718311,,
3096,0509,LASD EIND ACHTER INV 2031 att,10,10,100,0,0,100,107,7,2026-02-17T18:02:59.718311,,
3097,0510,LASD TREK ACHTER INV 3222,0,1,0,667,0,667,694,27,2026-02-17T18:02:59.718311,,
3098,0511,PLAFONDDOOS 97371201 GRO-2 120,0,1,0,58,0,58,1119,1061,2026-02-17T18:02:59.718311,,
3099,0513,INBOUWDS HOLLEWAND 16/19,3,120,360,47,0,407,431,24,2026-02-17T18:02:59.718311,,
3100,0514,MONTAGEDEKSEL GRIJS 3640/D,3,50,150,5,0,155,151,-4,2026-02-17T18:02:59.718311,,
3101,0515,DEKSEL VOOR LASDOOS  3504,0,0,0,574,0,574,592,18,2026-02-17T18:02:59.718311,,
3102,0517,CENTR ZIJKANT BODEM 76.5MM 169,0,1,0,46,0,46,46,0,2026-02-17T18:02:59.718311,,
3103,0518,CENTRAALDOOS ROND 80MM C80,4,100,200,3,0,203,402,199,2026-02-17T18:02:59.718311,,
3104,0519,CENTRAALDOOS ROND 100MM C100,40,5,200,35,0,235,275,40,2026-02-17T18:02:59.718311,,
3105,0520,CENTRAALD 5/8 55mm ONG 165A,0,1,0,466,0,466,492,26,2026-02-17T18:02:59.718311,,
3106,0521,CENTRAALD 5/8 55mm GEL 165B,0,1,0,355,0,355,355,0,2026-02-17T18:02:59.718311,,
3107,0524,CENTRDOOS ROND 12X16/19/20MM,14,61,840,245,0,1085,1039,-46,2026-02-17T18:02:59.718311,,
3108,0525,CENTRAALDOOS DEKSEL 3506,0,1,0,752,0,752,442,-310,2026-02-17T18:02:59.718311,,
3109,0526,MONTAGEDEKSEL+WCD3611W1,12,55,240,0,0,240,329,89,2026-02-17T18:02:59.718311,,
3110,0527,MONTAGEDEKSEL+WCD3611W2,5,50,250,5,0,255,286,31,2026-02-17T18:02:59.718311,,
3111,0528,MONTAGEDEKSEL+WCD3640W4,2,50,100,1,0,101,115,14,2026-02-17T18:02:59.718311,,
3112,0529,ONDERBAK KABELDOOS 3640/1,0,0,0,2,0,2,6,4,2026-02-17T18:02:59.718311,,
